vendors;name;specification;image_url;price
Logic Power;LogicPower 0050;400W ATX/MATX, 20+4Pin, 1xSATA, 4x4pin Molex, 80mm FAN, CD-ROMx2, HDDx1, FDDx0, PCIx7, USBx2, AUDIO In/Out;1.jpg;224
Logic Power;LogicPower 0102;400W ATX/MATX, 20+4Pin, 2xSATA, 4x4pin Molex, 80mm FAN, CD-ROMx2, HDDx1, FDD;2.jpg;232
Logic Power;LogicPower 0106;400W ATX/ MATX, 20+4Pin, 2xSATA, 4x4pin Molex, 80mm FAN, CD-ROMx2, HDDx1, FDD;3.jpg;232
